Date,2025-05-03

Area (cm²),11.6964,Thickness (cm),0.18

NOTE: Connect to REAR terminals with triaxial cables for best low-current accuracy

TRIAL 1: POSITIVE VOLTAGES (25V-200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
25,25.004,25.8,0.1,6.29e+13
50,50.001,28.4,0.1,1.15e+14
100,100.003,34.0,0.1,1.91e+14
150,150.001,38.7,0.2,2.52e+14
200,199.999,44.7,0.1,2.91e+14

TRIAL 2: NEGATIVE VOLTAGES (-25V to -200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
-25,-25.001,15.5,0.1,-1.05e+14
-50,-49.999,13.6,0.1,-2.38e+14
-100,-100.000,8.7,0.1,-7.50e+14
-150,-149.997,3.9,0.4,-2.49e+15
-200,-199.997,-1.1,0.1,1.15e+16

TRIAL 3: POSITIVE VOLTAGES (10V-120V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
10,10.003,23.1,0.0,2.82e+13
20,20.002,22.9,0.1,5.69e+13
30,30.002,23.7,0.1,8.21e+13
40,40.003,24.4,0.1,1.06e+14
50,50.001,25.3,0.1,1.29e+14
60,60.003,26.2,0.1,1.49e+14
70,70.003,27.2,0.0,1.68e+14
80,80.001,28.3,0.0,1.84e+14
90,90.002,29.2,0.1,2.00e+14
100,100.003,30.0,0.8,2.16e+14
110,110.001,29.7,3.3,2.41e+14
120,120.001,32.0,0.1,2.44e+14

TRIAL 4: NEGATIVE VOLTAGES (-10V to -120V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
-10,-9.997,15.8,0.1,-4.10e+13
-20,-19.999,15.3,0.1,-8.47e+13
-30,-29.999,14.4,0.2,-1.35e+14
-40,-39.999,13.0,0.2,-2.00e+14
-50,-49.999,11.9,0.1,-2.73e+14
-60,-60.000,10.8,0.0,-3.60e+14
-70,-70.000,9.7,0.1,-4.69e+14
-80,-80.000,8.8,0.1,-5.94e+14
-90,-90.000,7.6,0.1,-7.67e+14
-100,-100.000,6.7,0.1,-9.73e+14
-110,-110.000,5.8,0.1,-1.24e+15
-120,-119.996,4.7,0.1,-1.66e+15

