Date,2025-05-14

Area (cm²),11.6964,Thickness (cm),0.18

NOTE: Connect to REAR terminals with triaxial cables for best low-current accuracy

TRIAL 1: POSITIVE VOLTAGES (25V-200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
25,25.003,171.5,0.1,9.47e+12
50,50.001,225.3,0.1,1.44e+13
100,100.002,332.0,0.3,1.96e+13
150,150.000,433.7,0.1,2.25e+13
200,199.997,534.0,0.2,2.43e+13

TRIAL 2: NEGATIVE VOLTAGES (-25V to -200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
-25,-25.000,50.8,0.1,-3.20e+13
-50,-49.999,2.0,0.1,-1.63e+15
-100,-100.001,-96.9,0.1,6.71e+13
-150,-149.997,-191.8,0.0,5.08e+13
-200,-199.998,-282.8,0.1,4.60e+13

