Date,2025-06-11

Area (cm²),11.6964,Thickness (cm),0.18

NOTE: Connect to REAR terminals with triaxial cables for best low-current accuracy

TRIAL 1: POSITIVE VOLTAGES (25V-200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
25,25.003,4.8,0.1,3.37e+14
50,50.000,7.4,0.1,4.36e+14
100,100.002,12.7,0.1,5.13e+14
150,149.999,17.3,0.1,5.64e+14
200,199.996,22.0,0.1,5.92e+14

TRIAL 2: NEGATIVE VOLTAGES (-25V to -200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
-25,-25.000,-0.3,0.2,6.48e+15
-50,-49.999,-1.9,0.1,1.67e+15
-100,-100.000,-6.2,0.0,1.05e+15
-150,-149.997,-10.8,0.0,9.00e+14
-200,-199.997,-14.6,0.1,8.89e+14

