Date,2025-06-12

Area (cm²),11.6964,Thickness (cm),0.18

NOTE: Connect to REAR terminals with triaxial cables for best low-current accuracy

TRIAL 1: POSITIVE VOLTAGES (25V-200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
25,25.003,2.8,0.1,5.86e+14
50,50.000,3.5,0.1,9.28e+14
100,100.002,4.9,0.1,1.32e+15
150,149.999,6.5,0.1,1.51e+15
200,199.997,8.1,0.1,1.60e+15

TRIAL 2: NEGATIVE VOLTAGES (-25V to -200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
-25,-25.000,0.6,0.2,-2.56e+15
-50,-49.999,0.1,0.2,-5.60e+16
-100,-100.000,-1.5,0.1,4.33e+15
-150,-149.997,-3.2,0.1,3.00e+15
-200,-199.997,-4.7,0.2,2.75e+15

