Date,2025-06-13

Area (cm²),11.6964,Thickness (cm),0.18

NOTE: Connect to REAR terminals with triaxial cables for best low-current accuracy

TRIAL 1: POSITIVE VOLTAGES (25V-200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
25,25.003,9.4,0.1,1.73e+14
50,50.000,11.4,0.1,2.84e+14
100,100.001,15.8,0.1,4.11e+14
150,149.999,19.8,0.1,4.91e+14
200,199.997,23.0,0.2,5.66e+14

TRIAL 2: NEGATIVE VOLTAGES (-25V to -200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
-25,-25.001,3.0,0.1,-5.36e+14
-50,-49.999,1.6,0.0,-2.02e+15
-100,-100.001,-1.9,0.1,3.46e+15
-150,-149.997,-5.2,0.0,1.89e+15
-200,-199.997,-8.3,0.1,1.56e+15

