Date,2025-06-16

Area (cm²),11.6964,Thickness (cm),0.18

NOTE: Connect to REAR terminals with triaxial cables for best low-current accuracy

TRIAL 1: POSITIVE VOLTAGES (25V-200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
25,25.002,12.3,0.1,1.32e+14
50,50.000,16.4,0.1,1.98e+14
100,100.001,24.6,0.0,2.64e+14
150,149.999,31.1,0.1,3.14e+14
200,199.996,37.2,0.1,3.49e+14

TRIAL 2: NEGATIVE VOLTAGES (-25V to -200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
-25,-25.000,2.6,0.1,-6.35e+14
-50,-49.999,-0.1,0.1,2.65e+16
-100,-100.000,-6.3,0.1,1.04e+15
-150,-149.997,-12.6,0.2,7.73e+14
-200,-199.997,-19.2,0.1,6.76e+14

