Date,2025-06-12

Area (cm²),11.6964,Thickness (cm),0.18

NOTE: Connect to REAR terminals with triaxial cables for best low-current accuracy

TRIAL 1: POSITIVE VOLTAGES (25V-200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
25,25.003,6.3,0.1,2.58e+14
50,50.001,7.4,0.1,4.36e+14
100,100.002,9.6,0.1,6.80e+14
150,149.999,11.6,0.1,8.43e+14
200,199.997,13.3,0.2,9.78e+14

TRIAL 2: NEGATIVE VOLTAGES (-25V to -200V)
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
-25,-25.000,3.5,0.1,-4.64e+14
-50,-49.999,2.5,0.1,-1.28e+15
-100,-100.000,0.8,0.1,-7.84e+15
-150,-149.997,-1.0,0.1,9.76e+15
-200,-199.997,-3.3,0.1,3.92e+15

